CSP2 FAILURE TYPE,MINE,ORE TYPE,DAM TYPE,DAM FILL MATERIAL,DAM HEIGHT in meters,"STORAGE VOLUME
cu. Meters",ICOLD TYPE,ICOLD INCIDENT TYPE,ICOLD INCIDENT NUMBER,INCIDENT YEAR,INCIDENT DATE,"RELEASE
(cu. meters)",RUNOUT km,DEATHS,SOURCES,NOTES,DEPOSIT TYPE,ORE TYPE,Resources  Mtonnes,Cu grade,Au grade in ppm,CuEq,1st Prod,Est Mill through-put to event Mtonnes,Adverse Minerals
,as of: 22Aug16,,,,,,,,,,,,,,,,,,,,ORE DEPOSIT DATA,,,,
2,"Pinto Valley, Arizona, USA (BHP Copper)",Cu,,,,,1B-SI,1,Table 1,1997,22-oct-97,"230,000",,,"ICOLD, WISE",Tailings dam slope failure. Tailings flow covers 16 hectares.,PCD,Cu,,,,,,,
3,"Algarrobo, IV Region, Vallenar, Chile",Fe,US,,18,,1A-EQ,1,-,1997,14-oct-97,,,,Villavicencio,"Intraplate earthquake Ms = 7.0, R = 100 km, dam slope 1.5:1",Magmatic,Fe,,,,,,,
3,"Algarrobo, IV Region, Vallenar, Chile",Fe,US,,20,,1A-EQ,1,-,1997,14-oct-97,,,,Villavicencio,"Intraplate earthquake Ms = 7.0, R = 80 km, dam slope 1.5:1",Magmatic,Fe,,,,,,,
3,"Maitén, IV Region, Vallenar, Chile",?,US,,15,,1A-EQ,1,-,1997,14-oct-97,,,,Villavicencio,"Intraplate earthquake Ms = 7.0, R = 120 km, dam slope 1.5:1",,?,,,,,,,
3,"Tranque Antiguo Planta La Cocinera, IV Region, Vallenar, Chile",?,US/CL,,30,,1A-EQ,1,-,1997,14-oct-97,"60,000",>0.15,,Villavicencio,"Intraplate earthquake Ms = 7.0, R = 80 km, dam slope 1.7:1; deaths in 1943 failure after 7.9 magnitude eartquake",,?,,,,,,,
2,"Amatista, Nazca, Peru",?,US,,,,1B-EQ,1,-,1996,12-nov-96,"300,000",,,WISE,"Liquefaction failure of upstream-type tailings dam during M6.4 earthquake. Flow runout of about 600 meters, spill into river, croplands contaminated.",,?,,,,,,,
2,"El Porco, Bolivia (Comsur-62%, Rio Tinto-33%)",Pb Zn,,,,,1A-U,1,Table 1,1996,29/Aug/96,"166,000",300,,"ICOLD, WISE","400,000 tonnes released, 300 km of Pilcomayo river contaminated",Vein,Pb Zn,,,,,,,
1,"Marcopper, Marinduque Island, Philippines (#2 of 2) (Placer Dome and President Marcos)",Cu,,,,,1A-ST,1,208,1996,24-mar-96,"1,600,000",26,,"ICOLD, WISE, Piplinks",Drainage tunnel plug failed. 26 km of the Makulaquit and Boac river systems filled with tailings rendering them unusable; US$ 80 million in damage; no production after this event,PCD,Cu,372,0.55,0.11,0.63823029,1969,55,Py
2,"Sgurigrad, Bulgaria",Pb Zn,US,T,45,"1,520,000",1A-SI,1,220,1996,1996,"220,000",6,,"ICOLD, Rico",,,Pb Zn,,,,,,,
3,"Negros Occidental, Bulawan Mine Sipalay River, Philippines (Philex Mining Corp)",Au,,,,,2A-U,2,-,1995,8/Dec/95,,,,Piplinks,Pressure exerted by impounded tailings caused leak in decant tower of tailings pond 1 at the Bulawan gold mine. This was the 4th discharge in this area (1st was in 1982);  mine reactivated by Philex in 1996 and decommissioned in 2002 after which tailings dried up causing a dust problem as far as 5km from site,,Au,,,,,1957,,
3,"Golden Cross, Waitekauri Valley, New Zealand (Coeur d'Alène Mines)",Au,,R,25-30,"3,000,000",1A-FN,1,207,1995,Dec/95, Nil ,,,ICOLD,Movement of dam,,Au,,,,,,,
2,"Surigao del Norte Placer, Philippines (#2 of 3) (Manila Mining Corp)",Au,WR,E,17,,1B-FN,1,206,1995,2-sep-95,"50,000",,12,"ICOLD, WISE","12 people killed, coastal pollution ",Placer,Au,,,,,,,
1,"Omai Mine, Tailings dam No 1, 2, Guyana (Cambior)",Au,WR,R,44,"5,250,000",1A-ER,1,205,1995,19/Aug/95,"4,200,000",80,,"ICOLD, WISE, Rico","Cambior Inc., Canada (65%), Golden Star Resources Inc., Colorado, USA (30%) 80 km of Essequibo River declared environmental disaster zone.",Vein,Au,43,,1.51,1.211161252,1993,8,Py
3,"Middle Arm, Launceston, Tasmania",Au,CL,E,4,"25,000",1A-OT,1,204,1995,25-jun-95,"5,000",,,ICOLD,,,Au,,,,,,,
3,"Riltec, Mathinna, Tasmania",Au,CL,E,7,"120,000",2A-SE,2,203,1995,jun-95,"40,000",,,ICOLD,,,Au,,,,,,,
1,"Hopewell Mine, Hillsborough County, Florida, USA",P,,,,,1A-U,1,-,1994,19-nov-94,"1,900,000",,,WISE,"IMC-Agrico.  Water from a clay settling pond spilled into nearby wetlands and the Alafia River, Keysville flooded.",Strat,P,,,,,,,
1,"Payne Creek Mine, Polk County, Florida, USA",P,,,,,1A-U,1,-,1994,2-oct-94,"6,800,000",,,WISE,"IMC-Agrico. Majority of spill contained on adjacent mining area; 500,000 m3 released into Hickey Branch, a tributary of Payne Creek.",Strat,P,,,,,,,
3,"Fort Meade Phosphate, Florida, USA ",P,,,,,2A-SE,2,-,1994,oct-94,"76,000",,,WISE,Cargill. Phosphogypsum process (?) water. Spill into Peace River near Fort Meade.,Strat,P,,,,,,,
3,"IMC-Agrico Phosphate, Florida, USA",P,,,,,2A-SE,2,-,1994,jun-94,,,,WISE,IMC-Agrico. Sinkhole opens in phosphogypsum stack.,Strat,P,,,,,,,
1,"Merriespruit, near Virginia, South Africa (Harmony) - No 4A Tailings Complex",Au,US paddock,T,31,"7,040,000",1B-OT,1,202,1994,22-feb-94,"600,000",4,17,"ICOLD, WISE, Rico","Dam wall breach following heavy rain, tailings traveled 4 km downstream, 17 people killed, extensive damage to residential township; No 4 TSF started in 1978 and was only 320m from nearest houses",WITS,Au,,,,,1950,,Py
4,"Olympic Dam, Roxby Downs, South Australia",Cu U,,,,,3,3,-,1994,14-feb-94,"5,000,000",,,WISE,Designed groundwater leakage from unlined tailings impoundment into groundwater.  Up to 5 million m3 of contaminated water into the subsoil.,,Cu U,4800,1.4,0.6,3.321256127,1988,10,Py
3,"Minera Sera Grande: Crixas, Goias, Brazil",Au,DS then US,CST,41, 2.25Mt ,2A-SI,2,214,1994,feb-94, None ,,,ICOLD,,,Au,,,,,,,
3,"Fort Meade, Florida, Cargill phosphate (#3 of 3)",P,,,,,1A-U,1,-,1994,Jan/94,"76,000",,,WISE,,,P,,,,,,,
1,"Longjiaoshan, Daye Iron Ore mine, Hubei",Fe,,,,,1A-U,1,-,1994,Jan/94,,,31,Wei,,,Fe,,,,,,,
2,"Marcopper, Marinduque Island, Mogpog Philippines(12/6) (#1 of 2) (Placer Dome-President Marcos)",Cu,,,,,1A-U,1,-,1993,6/Dec/93,,,2,Piplinks,Siltation (tailings) dam failure. Mogpog River and Mogpog town flooded. The dam was completed in 1992.,,Cu,,,,,,,
3,"Gibsonton, Florida, USA (Cargill)",P,,,,,2A-U,2,-,1993,oct-93,,,,WISE,Fish killed when acidic water spilled into Archie Creek (WISE). ,Strat,P,,,,,,,
3,"TD 7, Chingola, Zambia",Cu,US,T&E,5,,1A-OT,1,200,1993,Aug/93, 100 t ,,,ICOLD,,,Cu,,,,,,,
3,"Itogon-Suyoc, Baguio gold district, Luzon, Philippines (Benguet Corp)",Au Ag,,,,,1A-OT,1,199,1993,26-jun-93,,,,"ICOLD, Piplinks",Itogon-Suyoc Mines.  Overtopping at the dam of the Itogon-Suyoc gold and silver mines occurred during a typhoon when the dam’s penstock and diversion tunnel were blocked. Siltation of the adjoining river. No production after this event.,Vein,Au Ag,>50,2.5,6,7.312561265,1931,37,Py
3,"Saaiplaas, South Africa, failure on south ring dyke (22Mar93)",Au,US,CST,28,,1A-SI,1,Table 1,1993,22-mar-93, minimal ,,,"Blight, ICOLD","Slope Stability in Surface Mining, W. A. Hustrulid, M. Kim McCarter, Dirk J. A. Van Zyl, 2001, Chapter 42, Management and Operational Background to the Three Tailings Dam Failures in South Africa, G Blight, p. 386.  Three separate events within 4 days.  ",Wits,Au,,,,,,,
3,"Saaiplaas, South Africa, 2 failures on west ring dyke (18-19Mar93)",Au,US,CST,28,,1A-SI,1,Table 1,1993,18-mar-93, minimal ,,,"Blight, ICOLD","Slope Stability in Surface Mining, W. A. Hustrulid, M. Kim McCarter, Dirk J. A. Van Zyl, 2001, Chapter 42, Management and Operational Background to the Three Tailings Dam Failures in South Africa, G Blight, p. 386.  Three separate events within 4 days.  ",Wits,Au,,,,,,,
2,"Marsa, Peru (Marsa Mining Corp)",Au,,,,,1A-OT,1,-,1993,1993,,,6,WISE,Dam failure from overtopping.,Vein,Au,,,,,,,
3,"Kojkovac, Montenegro",Pb Zn,WR,E,,"3,500,000",2B-ER,2,198,1992,nov-92, none ,,,ICOLD,,,Pb Zn,,,,,,,
2,"Maritsa Istok 1, Bulgaria",Coal,,Ash,15,"52,000,000",1A-ER,1,218,1992,1-mar-92,"500,000",,,"ICOLD, WISE",Dam failure from inundation of the beach.,Strat,Coal,,,,,,,
1,"Tubu, Benguet, No.2 Tailings Pond, Luzon, Philippines - Padcal (Philex)",Cu,,,,,1A-FN,1,197,1992,2/Jan/92,"32,243,000",,,Piplinks,"Philex Mining Corp. Collapse of dam wall (foundation failure). 80,000,000 tonnes released, siltation affected government irrigation system; the 2nd of 3 dams that Philex controls failed in 1994 and a 3rd breached in 2001; Benguet Corp and Lepanto mines have built 5 TSFs each and no longer operate their mines; Itogon-Suyac;s TSF collapsed in 1994 (from UN report (2007))",PCD,Cu,590,0.3,0.35,0.58073274,1958,200,Py
3,"Ajka Alumina Plant, Kolontár, Hungary",Al,DS,Compacted Fly Ash,,,1A-ST,1,-,1991,3-nov-91,"43,200",,,Kolontár Report,"The Kolontar Report (https://www.google.com/?gws_rd=ssl#q=kolontar+hungary+disaster)  Dam break occurred during the construction of Reservoir 10 resulting in alkaline (pH = 10-11) slag water escaping, polluting the rivers Marcal and Rába through the Torna stream to a traceable extent.",,Al,,,,,,,
3,"Iron Dyke, Sullivan Mine, Kimberley, BC, Canada (Cominco, Inc)",Pb Zn,US,,21,,1A-SI,1,196,1991,23/Aug/91,"75,000",,,"ICOLD, WISE, Mt Polley Expert Panel 2015, App I","Dam failure (liquefaction in old tailings foundation during construction of incremental raise), material was contained in an adjacent pond.",VMS,Pb Zn,170,,,5.693021381,1909,130,PY
2,Brewer Gold Mine Jefferson South Carolina,Au,,,,,1A-U,1,-,1990,1-nov-90,"41,640",80,,"NWF, 2012","The spill killed 11,000 fish and decimated 50 miles of the Lynches River. (Protecting America's Waters from Irresponsible Mining, National Wildlife Federation, February, 2012)",,Au,,,,,,,
2,"Matachewan Mines, Kirtland Lake, Ontario",U,,,,,1A-U,1,-,1990,17-oct-90,"190,000",168,,"Proceedings of Canadian dam safety conference, Niagara Falls (Canada), Oct 1996; Ontario Environment, 1990","Proceedings: Failure of the dam in 1990, when it discharged 190,000 cu m of tailings into Davidson Creek and the Montreal River. The contaminant plume was observed as far away as Lake Temiskaming, some 168 km downstream. (https://www.etde.org/etdeweb/details.jsp?query_id=1&page=0&osti_id=415194); Ontario Environment (https://archive.org/details/matachewanmineta00ontauoft)",,U,,,,,,,
3,"Soda Lake, California, USA",Na,US,E,3,,2A-EQ,2,111,1989,17-oct-89,,,,ICOLD,,Strat,Na,,,,,,,
3,"Silver King, Idaho, USA",Ag Pb,DS,E,9,"37,000",2A-OT,2,108,1989,5/Aug/89, Small ,,,ICOLD,,,Ag Pb,,,,,,,
3,"Big Four, Florida, USA",P,CL,E,,,2A-FN,2,14,1989,1989,,,,ICOLD,,Strat,P,,,,,,,
3,"Thompson Creek, Idaho, USA (Cyprus)",Mo,CL,CST,146,"27,000,000",2A-SE,2,34,1989,1989,,,,ICOLD,,,Mo,,,,,,,
3,"Southern Clay, Tennessee, USA",Clay,WR,E,5,,1A-SE,1,112,1989,1989,300,,,ICOLD,,Strat,Clay,,,,,,,
3,"Stancil, Maryland, USA",Sand,US,E,9,"74,000",1A-SI,1,116,1989,1989,"38,000",0.1,,"ICOLD, Rico, WISE",,Strat,Sand,,,,,,,
3,"Unidentified, Hernando, County, Florida, USA #2",Limestone,US,E,12,"3,300,000",1A-OT,1,163,1988,sep-88,"4,600",,,ICOLD,,Strat,Limestone,,,,,,,
2,"Jinduicheng, Shaanxi Province., China",Mo,US,,40,,1A-OT,1,195,1988,30/Apr/88,"700,000",,~20,"ICOLD, WISE",,,Mo,,,,,,,
2,"Consolidated Coal No.1, Tennessee, USA,",Coal,DS,MW,85,"1,000,000",2A-ST,2,121,1988,19/Jan/88,"250,000",,,"ICOLD, WISE",,Strat,Coal,,,,,,,
3,"Unidentified, Hernando, County, Florida, USA",Limestone,DS,E,12,,2A-FN,2,164,1988,1988,,,,ICOLD,,Strat,Limestone,,,,,,,
4,"Rain Starter Dam, Elko, Nevada, USA",Au,WR,ER,27,"1,500,000",3,3,98,1988,1988,,,,ICOLD,,,Au,,,,,,,
3,"Riverview, Hillsborough County, Florida",P,,,,,1A-ER,1,,1988,1988,246,,,WISE; Beavers 2013.,"Gardiner/Cargill.  A breach at a Riverview phosphogypsum stack caused the release of 65,000 gallons of process water into Hillsborough Bay, impacting coastal ecosystems, including sea grasses and mangroves. Acidic spill. Thousands of fish killed at mouth of Alafia River. (An Overview of Phosphate Mining and Reclamation in Florida, Casey Beavers, University of Florida thesis, April 2013)",Strat,P,,,,,,,
3,"Surigao Del Norte Placer, Philippines (#1 of 3) (Manila Mining Corp)",Au,,,,,1A-U,1,,1987,9-jul-87,,,,Piplinks,,Placer,Au,,,,,,,
2,"Montcoal No.7, Raleigh County, West Virginia, USA",Coal,,,,,1A-U,1,,1987,8/Apr/87,"87,000",80,,WISE,tailings flow 80 km downstream,Strat,Coal,,,,,,,
3,"Bekovsky, Western Siberia",Coal,US,"Argillite, aleurolite",53,"52,000,000",1A-U,1,212,1987,25-mar-87, None ,,,ICOLD,,Strat,Coal,,,,,,,
3,"Xishimen, China",Fe,US,T,31,,1A-SI,1,194,1987,21-mar-87,"2,230",,,ICOLD,,,Fe,,,,,,,
4,"Montana Tunnels, MT, USA (Pegasus Gold)",Au,DS,MW,33,"250,000",3,3,87,1987,1987,,,,ICOLD,Old Mining District re-opened with open pit,,Au,150,,0.51,0.41603863,1986,3.5,
3,"Marianna Mine #58, PA",Coal,US,E,37,"300,000",2A-SI,2,77,1986,19-nov-86,,,,ICOLD,,Strat,Coal,,,,,,,
2,"Mankayan District, Luzon, Phillippines, No.3 Tailings Pond (Benguet Corp subsidiary Lepanto Con Mining Co)",Cu Au,,E,,,1A-ST,1,193,1986,17-oct-86," >100,000? ",,,"ICOLD, Piplinks",Lepanto Consolidated Mining Corporation. Collapse of tailings pond 3 due to weakened dam embankment caused by additional loading. Siltation of the Abra River which affected 9 municipalities,,Cu Au,,,,,,,
3,"Pico de Sao Luis, Gerais, Brazil",Fe ,,T,20,,1A-ER,1,192,1986,2-oct-86,,,,ICOLD,,Strat,Fe ,,,,,,,
3,"Rossarden, Tasmania",Sn,WR,E,7.5,"200,000",1B-OT,1,190,1986,16-may-86,,,,ICOLD,,,Sn,,,,,,,
3,"Story’s Creek, Tasmania",Sn,Valley side,,17,"30,000",1B-OT,1,191,1986,16-may-86, Minimal ,,,ICOLD,,,Sn,,,,,,,
2,"Itabirito, Minas Gerais, Brazil",Fe,Gravity,Masonry,30,,1A-ST,1,189,1986,may-86," 100,000t ",12,7,"ICOLD, WISE, Rico",Itaminos Comercio de Minerios.  Dam wall burst. ,Strat,Fe,,,,,,,
3,"Mineral King, BC, Canada",Pb Zn,CL,CST,6, Small ,1B-OT,1,188,1986,20-mar-86,,,,"ICOLD, MT Polley Expert Panel 2015, App I",Tailings spilt out through dam but were almost completely contained by the emergency pond downstream of the dam.,,Pb Zn,,,,,,,
2,"Huangmeishan, China",Fe,,,,,1A-U,1,,1986,1986,,,19,WISE,,,Fe,,,,,,,
3,"Spring Creek Plant, Borger, Texas, USA",Sand,,,5,"30,000",1A-OT,1,114,1986,1986,,,,ICOLD,,Strat,Sand,,,,,,,
3,"Bonsal, North Carolina, USA",Sand,WR,E,6,"38,000",1A-OT,1,17,1985,17/Aug/86,"11,000",0.8,,ICOLD,,Strat,Sand,,,,,,,
1,"Prestavel Mine - Stava, North Italy, 2, 3 (Prealpi Mineraria)",F,US,CST,29.5,"300,000",1A-SI,1,117,1985,19-jul-85,"200,000",8,269,"ICOLD, WISE, Rico","Damage valued at Euro133M; razed 20 buildings in Stava and flowed in to Avisio River; mining of argentiferous galena since 16th c.; fluorite mining commenced in 1934 and throughput increased from 30tpd to 200tpd in 1961; 1st TSF in use by 1962, 2nd by 1970",,F,,,,,,1.5,
3,"La Belle, Pennsylvania, USA",Coal,DS,MW,79,"1,230,000",2A-FN,2,68,1985,17-jul-85,,,,ICOLD,,Strat,Coal,,,,,,,
2,Cerro Negro No. (4 of 5),Cu,US,CST,40,"2,000,000",1A-EQ,1,30,1985,3-mar-85,"500,000",8,,"ICOLD WISE, Rico",,,Cu,,,,,,,
2,Veta de Agua,Cu,US,T,24,"700,000",1A-EQ,1,178,1985,3-mar-85,"280,000",5,,"WISE, Rico",,,Cu,,,,,,,
1,"Niujiaolong, Shizhuyuan Non-ferrous Metals Co., Hunan",P,,,,,1A-U,1,,1985,1985,"731,000",4.2,49,Wei,,,P,,,,,,,
3,El Cobre No. 4 - El Soldado (Exxon),Cu,DS,CST,50,,2A-EQ,2,44,1985,1985,,,,ICOLD,,HT Manto,Cu,580,1.1,,1.1,19th c,65,Py
3,"Marga, Chile - El Teniente (Codelco)",Cu,,,,,1B-OT,1,76,1985,1985,,,,ICOLD,,PCD,Cu,12000,1,,,1905,680,Py
3,"Olinghouse, Nevada, USA",Au,WR,E,5,"120,000",1A-SE,1,91,1985,1985,"25,000",1.5,,"ICOLD, Rico, WISE",,,Au,,,,,,,
5,"Quintette, MaËmot, BC, Canada",Coal,,,,,3,3,,1985,1985,"2,500,000",2.5,,"Blight & Fourie, 2004","Waste dump failure - pore pressure resulting from collapse settlement. River valley filled with waste for 2.5km. (Blight & Fourie, 2004)",Strat,Coal,,,,,,,
3,"Texasgulf 4B Pond, Beaufort, Co., North Carolina, USA",P,WR,T,8,"12,300,000",2A-SI,2,122,1984,Apr/84,,,,ICOLD,,Strat,P,,,,,,,
3,"Mirolubovka, Southern Ukraine",Fe,US,E&T,32,"80,000,000",2A-SI,2,210,1984,15/Jan/84, none ,,,ICOLD,,,Fe,,,,,,,
3,"Battle Mt. Gold, Nevada,",Au,DS,E,8,"1,540,000",2A-SI,2,11,1984,1984,,,,ICOLD,,,Au,,,,,,,
3,"Virginia Vermiculite, Louisa County, Virginia, USA",Vermiculite,WR,E,9,,1A-ST,1,179,1984,1984,,,,ICOLD,,,Vermiculite,,,,,,,
3,"Clayton Mine, Idaho, USA",Ag Pb,CL,T,24,"215,000",2A-ST,2,32,1983,2-jun-83,,,,ICOLD,Mine shut down in 1986,Vein,Ag Pb,,,,,1881,,
4,"Golden Sunlight, MT, USA",Au,CL,CST,,,3,3,51,1983,5/Jan/83,,,,ICOLD,"Discovered in 1890, production ceased in 1945; mine started as open pit in 1983; earlier dumps/tails cleaned up",Vein,Au,65,,1.9,1.523977734,1982,1.5,
3,Vallenar 1 and 2,Cu,,,,,1B-OT,1,175,1983,1983,,,,ICOLD,,,Cu,,,,,,,
4,"Grey Eagle, California, USA",Au,DS,E,,,3,3,53,1983,1983,,,,ICOLD,,Vein,Au,,,,,,,
1," Sipalay, Phillippines, No.3 Tailings Pond (Maricalum Mining Corp)",Cu,WR,MW,,"37,000,000",1A-FN,1,187,1982,8-nov-82," 28,000,000t ",,,"ICOLD, WISE, Piplinks","dam failure, due to slippage of foundations on clayey soils.  Widespread inundation of agricultural land up to 1.5 m high; 1st of 4 discharges reported in this area (4th in 1995); mine reactivated by Philex in 1996 and decommissioned in 2002 after which tailings dried up causing a dust problem as far as 5km from site",PCD,Cu,800,0.473,0.05,0.513104677,1957,~100,Py
3,"Royster, Florida, USA",Gypsum,US,T,21,,1A-FN,1,102,1982,1982,,,,ICOLD,,Strat,Gypsum,,,,,,,
2,"Ages, Harlan County, Kentucky, USA",Coal,,,,,1A-U,1,,1981,18/Dec/81,"96,000",163,1,WISE,,,Coal,,,,,,,
3,"Dixie Mine, Colorado, USA",Au,,,,,1B-U,1,39,1981,Apr/81,,,,ICOLD,Ceased operations in 1954,Vein,Au,0.087,,,,1936,,Py Ga
1,"Balka Chuficheva, Russia",Fe,US,CST,25,"27,000,000",1A-SI,1,211,1981,20/Jan/81,"3,500,000",1.3,,"ICOLD, WISE",,,Fe,,,,,,,
3,"Texasgulf No. 1 Pond, Beaufort Co., North Carolina, USA",P,WR,E,,"24,700,000",2A-SI,2,123,1981,1981,,,,ICOLD,,Strat,P,,,,,,,
3,Veta de Aqua A,Cu,,,,,1A-EQ,1,176,1981,1981,,,,ICOLD,,,Cu,,,,,,,
3,Veta de Agua B,Cu,,,,,1A-EQ,1,177,1981,1981,,,,ICOLD,,,Cu,,,,,,,
1,"Tyrone, New Mexico (Phelps Dodge)",Cu,US,CST,66,"2,500,000",1A-SI,1,94,1980,13-oct-80,"2,000,000",8,,"ICOLD, WISE, Rico",,PCD,Cu,1300,0.53,,0.53,1967,100,Py
3,"Sweeney Tailings Dam, Longmont, Colorado, USA",Sand,,,7,,1A-SE,1,119,1980,may-80,,,,ICOLD,,Strat,Sand,,,,,,,
3,"Marga, Sewell, VI Region, Rancagua, Chile - El Teniente (Codelco)",Cu,,,,,1B-OT,1,,1980,jun-05,,,,Villavicencio,Strong rains and over?ow,PCD,Cu,12000,1,,1,,580,Py
3,"Arena, Sewell, VI Region, Rancagua, Chile - El Teniente (Codelco)",Cu,,,,,1B-OT,1,,1980,jun-05,,,,Villavicencio,Strong rains and over?ow,PCD,Cu,12000,1,,1,,580,Py
3,"Kyanite Mining, Virginia, USA",Kyanite,,,11,"430,000",2A-OT,2,67,1980,1980,,,,ICOLD,,,Kyanite,,,,,,,
3,"Churchill Copper, BC",Cu,,,,,1A-SE,1,,1979,1/Dec/79,"37,854",,,"Mt Polley Expert Panel 2015, App. I","Seepage and piping with release of 10,000,000 gallons of supernatant.",,Cu,,,,,,,
2,"Churchrock, New Mexico, United Nuclear",U,WR,E,11,"370,000",1A-FN,1,173,1979,16-jul-79,"370,000",110,,"ICOLD, Wikipedia, Rico",Mined closed in 1982; basic surface remediation and tailings pumped into undergorund mine; high radium levels proximal to and on site; EPA program in progress,,U,,,,,1967,3,U
3,"Union Carbide, Uravan, Colorado, USA",U,US,T,43,,2A-SI,2,172,1979,mar-79,,,,ICOLD,,,U,,,,,,,
3,"Suncor E-W Dike, Alberta, Canada",Oil Sands,WR,MW,30,,2A-SI,2,118,1979,1979,,,,ICOLD,,Strat,Oil Sands,,,,,,,
3,"Unidentified, British Columbia, Canada ",?,,,,,1A-FN,1,,1979,1979,"40,000",,,WISE,Piping in the sand beach of the tailings dam ,,?,,,,,,,
5,"Incident No. 1, Elliot, Ontario, Canada",U,WR,E,9,,3,3,35,1979,1979,,,,ICOLD,,,U,,,,,,,
2,"Arcturus, Zimbabwe",Au,US,T,25, 1.7-2.0 Mt ,1A-OT,1,185,1978,31/Jan/78,"39,000",0.3,1,"ICOLD, WISE, Rico",,,Au,,,,,,,"Asp, Py"
2,"Mochikoshi No. 1, Japan (1 of 2)",Au,US,T,28,"480,000",1A-EQ,1,84,1978,14/Jan/78,"80,000",8,1,"ICOLD, WISE, Rico",Dam failure due to earthquake,,Au,,,,,,,
3,"Norosawa, Japan",Au,DS,,24,"225,000",2B-EQ,2,90,1978,14/Jan/78,,,,ICOLD,,,Au,,,,,,,
3,"Hirayama, Japan",Au,DS,,9,"87,000",2B-EQ,2,56,1978,1978,,,,ICOLD,,,Au,,,,,,,
3,"Mochikoshi No. 2, Japan (2 of 2)",Au,US,T,19,,1A-EQ,1,85,1978,1978,"3,000",0.15,,"ICOLD, Rico",dam failure due to aftershock,,Au,,,,,,,
3,"Syncrude, Alberta, Canada",Oil Sands,CL,T,,,2A-FN,2,120,1978,1978,,,,ICOLD,,Strat,Oil Sands,,,,,,,
3,"Madison, Missouri, USA",Pb,WR,E,11,,1A-OT,1,74,1977,28-feb-77,,,,ICOLD,,,Pb,,,,,,,
3,"Grants, Milan, New Mexico, USA mill site (Homestake Mining)",U,US,T,21,,1A-ST,1,59,1977,feb-77,"30,000",,,"ICOLD, WISE","Dam failure, due to rupture of plugged slurry pipeline; mill decommissioned in 1993",n.a.,U,,,,,1958,,U
3,"Pit No. 2, Western",REE,US,T,9,,1A-SI,1,96,1977,1977,,,,ICOLD,,,REE,,,,,,,
3,"Unidentified, Hernando, County, Florida, USA",Limestone,CL,E,6,,2A-FN,2,162,1977,1977,,,,ICOLD,,Strat,Limestone,,,,,,,
3,"Western Nuclear, Jeffrey City, Wyoming, USA #2",U,,,,,1A-SI,1,180,1977,1977,40,,,ICOLD,,Strat,U,,,,,,,
3,"Kerr-McGee, Churchrock, New Mexico, USA",U,WR,E,9,,1A-FN,1,64,1976,Apr/76,,,,ICOLD,,,U,,,,,,,
2,"Zlevoto No. 4, Yugoslavia",Pb Zn,US,T,25,"1,000,000",1A-SI,1,184,1976,mar-76,"300,000",,,"ICOLD, WISE"," dam failure, due to high phreatic surface and seepage breakout on the embankment face.  Tailings flow reached and polluted nearby river",,Pb Zn,,,,,,,
3,"Dashihe, China",Fe,US,,37,,2A-EQ,2,36,1976,1976,,,,ICOLD,,,Fe,,,,,,,
3,"Unidentified, Idaho, USA",P,DS,E,34,,2A-SI,2,149,1976,1976,,,,ICOLD,,Strat,P,,,,,,,
3,"Cadet No. 2, Montana,",Barite,CL,E,21,,2A-SI,2,18,1975,sep-75,,,,ICOLD,,,Barite,,,,,,,
2,"Silverton, Colorado, USA",Au Ag,,,,,1A-U,1,,1975,jun-75," 116,000t ",,,WISE,Tailings flow slide polluted nearly 100 miles (160 km) of the Animas river and its tributaries; severe property damage; no injuries ,,Au Ag,,,,,,,
2,"Madjarevo, Bulgaria",Pb Zn,US,T,40,"3,000,000",1A-ST,1,219,1975,Apr/75,"250,000",20+,,ICOLD,,,Pb Zn,,,,,,,
3,"Carr Fork, Utah, USA (Anaconda)",Cu Au,,,10,,1A-ST,1,22,1975,feb-75,,,,ICOLD,Adjacent to Bingham Canyon open pit; underground mine operated form 1979-1982 and re-opened in 1984,Skarn,Cu Au,127,2.42,1.12,3.318344769,1979,,Py
2,"Mike Horse, Montana, USA (Asarco)",Pb Zn,US,T,18,"750,000",1B-OT,1,79,1975,1975,"150,000",,,ICOLD,,Vein,Pb Zn,,,,,,,"Py, En, Ga"
3,"Dresser No. 4, Montana,",Barite,CL,E,15,,1A-FN,1,40,1975,1975,,,,ICOLD,,,Barite,,,,,,,
3,"Keystone Mine, Crested Butte, Colorado, USA",Mo,,,,,1B-U,1,65,1975,1975,,,,ICOLD,,,Mo,,,,,,,
3,"Heath Steele main dam, Brunswick, Canada (American Metals)",Pb Zn,WR,"R,E",30,,2A-FN,2,186,1975,1975,,,,ICOLD,,VMS,Pb Zn,40,1.11,0.93,5.022480413,1956,,PY Ga
5,"PCS Rocanville, Saskatchewan, Canada",K,US,T,12,,3,3,92,1975,1975,,,,ICOLD,,Strat,K,,,,,,,
5,"Unidentified, Green River, Wyoming, USA",Trona,WR,E,18,,3,3,161,1975,1975,,,,ICOLD,,Strat,Trona,,,,,,,
