CSP2 FAILURE TYPE,MINE,ORE TYPE,DAM TYPE,DAM FILL MATERIAL,DAM HEIGHT in meters,"STORAGE VOLUME
cu. Meters",ICOLD TYPE,ICOLD INCIDENT TYPE,ICOLD INCIDENT NUMBER,INCIDENT YEAR,INCIDENT DATE,"RELEASE
(cu. meters)",RUNOUT km,DEATHS,SOURCES,NOTES,DEPOSIT TYPE,ORE TYPE,Resources  Mtonnes,Cu grade,Au grade in ppm,CuEq,1st Prod,Est Mill through-put to event Mtonnes,Adverse Minerals
,as of: 22Aug16,,,,,,,,,,,,,,,,,,,,ORE DEPOSIT DATA,,,,
1,"Padcal No 3, Benquet Philippines (Philex)",Cu,,,,"102,000,000",1A-OT,1,-,2012,2/Aug/12,"13,000,000",,,NASSA & CCCP,"20.6 million tonnes released due to heavy rains.  The Balog and Agno River are heavily polluted. ""CSOs release results of independent investigation on Philex's tailings spill,"" NASSA & CCCP press release, 2 October 2012",PCD,Cu,590,0.3,0.35,0.58073274,1958,325,Py
3,"Hudson Bay (HB) Mine, Salmo, British Columbia (Regional District of Central Kootenay & Teck)",Pb Zn,,,,"1,800,000",1B-SE,1,-,2012,11-jul-12,nil,,,"Nelson Star, 9Jul12","A sinkhole in the dam at the  the HB mine site south of Salmo has been determined as the primary cause of the slough that threatened the stability of the tailings pond last week.  Heavy rainfall throughout the month of June was a contributing factor to some seepage and the initial slough. The Regional District of Central Kootenay purchased the six-hectare tailings area in 1998 as part of their central landfill area. ""Sinkhole to blame for slough at mine site near Salmo,"" Nelson Star, 9Jul12.",,Pb Zn,,,,,,,
3,Johson Gold Mining Corporation at Baranggay Bangong-Bayan,Au,,,,,1A-ER,1,-,2012,13/Apr/12,,,,"Mambulaoans Worldwide Buzz, 2012",Cyanide-laden mine tailings destroyed 10 houses. (http://mambulaoansworldwidebuzz.blogspot.com/2012/04/friday-13th-disaster-gold-miners_21.html),,Au,,,,,,,
3,"Mianyang City, Songpan County, Sichuan Province, China",Mn,,,,,1A-OT,1,-,2011,21-jul-11,"10,000",,,Future Directions Intl.,"Heavy rain on July 20 led the managers of the electrolytic manganese metal plant to release water from its tailing dams into the Fujiang River, which provides drinking water to Sichuan’s second largest city - (http://www.futuredirections.org.au/publications/food-and-water-crises/28-global-food-and-water-crises-swa/176-chinese-city-of-4-million-left-dry-as-pollution-contaminates-water.html)",,Mn,,,,,,,
2,"Bloom Lake, Newfoundland, Canada (Cleveland Cliffs)",Fe,,,,,1A-U,1,-,2011,may-11,"200,000",,,"Globe and Mail, December 25, 2014",Cliffs' Bloom Lake mine hit with record $7.5-million environmental fine,,Fe,,,,,,,
1,"Ajka Alumina Plant, Kolontár, Hungary (MAL Magyar Aluminum)",Al,DS,Compacted Fly Ash,,"30,000,000",1A-SE,1,-,2010,4-oct-10,"1,000,000",,10,"Kolontár Report, WISE, Zanbak 2010","The Kolontar Report (https://www.google.com/?gws_rd=ssl#q=kolontar+hungary+disaster), 10 people dead and almost 150 injured, about 1,000 acres of polluted land.  8 square kilometres flooded, including several towns.  Failure Mechanism and Kinematics of the Ajka Tailings Pond, Hungary, C. Zanbak, 10 December 2010",,Al,,,,,,,
1,"Zijin Mining, Xinyi Yinyan Tin Mine, Guangdong Province, China",Sn,,,,,1A-OT,1,-,2010,21-sep-10,,,22,"Zijin Mining Group;  Fry et al, 2012","Gaoqiling tailing pool dam at Qianpai Town, Xinyi City, Guangdong. Yinyan Tin Mine Dam Failure, Zijin Mining Group, 27Dec10, (https://www.regjeringen.no/contentassets/e7016c9a7430498e8c583a533dd1ca15/rec_zijin_2012_eng.pdf, http://www.facing-finance.org/en/database/cases/zijin-mining-collapse-of-tailing-dam-kills-22-destroys-houses/)",,Sn,,,,,,,
4,"Zijin Mining, Zijinshan Gold & Copper Mine, (Ting River)",Au Cu,,,,,3A-U,3,-,2010,16-jul-10,500,,,Zijin Mining Group,"Transfer tank used to dispose waste water for heap leach emergency leaked, Progress relating to the environmental incident concerning a sudden leakage of the waste water pond at the Zijinshan Copper Mine hydro-metallurgical plant, Zijin Mining Group, 16Jul10 (https://www.regjeringen.no/contentassets/e7016c9a7430498e8c583a533dd1ca15/rec_zijin_2012_eng.pdf)",,Au Cu,,,,,,,
3,"Zijin Mining, Zijinshan Gold & Copper Mine, (Ting River)",Au Cu,,,,,2A-U,2,-,2010,3-jul-10,"9,100",,,Zijin Mining Group,"Heap Leach pond break, Social Responsibility Report of 2010, Zijin Mining Group Co., Ltd., Department of Investment Securities of Zijin Mining Group, 31Mar11 (https://www.regjeringen.no/contentassets/e7016c9a7430498e8c583a533dd1ca15/rec_zijin_2012_eng.pdf);",,Au Cu,,,,,,,
3,"Huancavelica, Peru, Unidad Minera Caudalosa Chica","Ag, Cu, Pb, Zn",,,10,,1A-SE,1,-,2010,25-jun-10,"21,420",110,,"WISE, McLemore et al, 2014","Contamination of río Escalera and río Opamayo 110 km downstream.  See Sampling and Monitoring for the Mine Life Cycle
edited by McLemore, Virginia T., Smith, Kathleen S., Russell, Carol C. Russell, SME, 2014",,"Ag, Cu, Pb, Zn",,,,,,,
3,"Unidad Minera Caudalosa Chica, Huancavelica, Peru",,,,,,1B-U,1,-,2010,25-jun-10,"21,420",110,,WISE,Contamination of río Escalera and río Opamayo 110 km downstream ,,0,,,,,,,
